index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
0,{'fit_intercept': True},L1Norm,MinMax,Identity,LM,-58.3859375
1,{'fit_intercept': False},L1Norm,MinMax,Identity,LM,-58.405462646484374
0,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,Identity,Ridge,-58.21682135309145
1,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,Identity,Ridge,-58.292843152519055
2,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,Identity,Ridge,-61.26038654756878
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,Identity,Ridge,-61.27623979915239
4,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,Identity,Ridge,-61.55578398643033
5,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,Identity,Ridge,-63.320642978243576
0,{'fit_intercept': True},L1Norm,MinMax,BestK1,LM,-141.08650115908546
1,{'fit_intercept': False},L1Norm,MinMax,BestK1,LM,-162.61633538853286
0,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,BestK1,Ridge,-141.02222338173598
1,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,BestK1,Ridge,-141.02474275774216
2,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,BestK1,Ridge,-141.3871666883297
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,BestK1,Ridge,-162.6059383426605
4,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,BestK1,Ridge,-162.60604639778165
5,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,BestK1,Ridge,-162.69924179685833
0,{'fit_intercept': False},L1Norm,MinMax,BestK3,LM,-112.74508961073008
1,{'fit_intercept': True},L1Norm,MinMax,BestK3,LM,-113.65206881733239
0,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,BestK3,Ridge,-112.81086166008699
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,BestK3,Ridge,-112.83114715846038
2,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,BestK3,Ridge,-113.18691964008185
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,BestK3,Ridge,-113.37280892113894
4,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,BestK3,Ridge,-113.44308615866352
5,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,BestK3,Ridge,-115.1131141670631
0,{'fit_intercept': False},L1Norm,MinMax,BestK2,LM,-123.2412651005019
1,{'fit_intercept': True},L1Norm,MinMax,BestK2,LM,-123.84699112739982
0,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,BestK2,Ridge,-122.47474540794526
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,BestK2,Ridge,-122.47534778694309
2,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,BestK2,Ridge,-123.6217542342851
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,BestK2,Ridge,-123.87876908465162
4,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,BestK2,Ridge,-123.88768867581726
5,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,BestK2,Ridge,-124.42217866217726
0,{'fit_intercept': True},L1Norm,MinMax,PCA1,LM,-182.903230758757
1,{'fit_intercept': False},L1Norm,MinMax,PCA1,LM,-324.78624424446275
0,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,PCA1,Ridge,-182.89676514701543
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,PCA1,Ridge,-182.90321029912226
2,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,PCA1,Ridge,-182.90323069405775
3,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,PCA1,Ridge,-324.78624428742904
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,PCA1,Ridge,-324.7862578315568
5,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,PCA1,Ridge,-324.7905376124054
0,{'fit_intercept': True},L1Norm,MinMax,PCA2,LM,-75.97688228411693
1,{'fit_intercept': False},L1Norm,MinMax,PCA2,LM,-312.7324503666631
0,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,PCA2,Ridge,-76.05837651186816
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,PCA2,Ridge,-76.06015251782547
2,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,PCA2,Ridge,-76.7568607557001
