index,paras,windows,sl_name,fe_name,method,mean_validation_score
3,{'n_neighbors': 20},0,ZScore,PCA2,KNN,0.989291277258567
4,{'n_neighbors': 26},0,ZScore,PCA2,KNN,0.9888369678089304
0,"{'priors': array([0.78589045, 0.21410955])}",0,ZScore,PCA2,NB,0.9603452751817237
1,"{'priors': [0.5, 0.5]}",0,ZScore,PCA2,NB,0.9509994807892004
0,{'alpha': 0.00017782794100389227},0,ZScore,PCA2,Perceptron,0.9825415368639667
1,{'alpha': 1e-05},0,ZScore,PCA2,Perceptron,0.9758566978193146
2,{'alpha': 0.0031622776601683794},0,ZScore,PCA2,Perceptron,0.9673546209761164
3,{'alpha': 0.05623413251903491},0,ZScore,PCA2,Perceptron,0.8542315680166147
4,{'alpha': 1.0},0,ZScore,PCA2,Perceptron,0.794457424714434
0,{'max_depth': 7},0,ZScore,PCA2,DT,0.9885773624091381
1,{'max_depth': 9},0,ZScore,PCA2,DT,0.9885773624091381
2,{'max_depth': 11},0,ZScore,PCA2,DT,0.9879932502596054
3,{'max_depth': 5},0,ZScore,PCA2,DT,0.9856568016614745
4,{'max_depth': 3},0,ZScore,PCA2,DT,0.9619029075804777
5,{'max_depth': 1},0,ZScore,PCA2,DT,0.9034267912772586
0,{'n_neighbors': 8},0,ZScore,PCA3,KNN,0.991822429906542
1,{'n_neighbors': 2},0,ZScore,PCA3,KNN,0.9917575285565939
2,{'n_neighbors': 14},0,ZScore,PCA3,KNN,0.990134994807892
3,{'n_neighbors': 20},0,ZScore,PCA3,KNN,0.989291277258567
4,{'n_neighbors': 26},0,ZScore,PCA3,KNN,0.9888369678089304
0,"{'priors': array([0.78589045, 0.21410955])}",0,ZScore,PCA3,NB,0.9484683281412254
1,"{'priors': [0.5, 0.5]}",0,ZScore,PCA3,NB,0.9385384215991692
0,{'alpha': 1e-05},0,ZScore,PCA3,Perceptron,0.9822170301142263
1,{'alpha': 0.00017782794100389227},0,ZScore,PCA3,Perceptron,0.9803997923156802
2,{'alpha': 0.0031622776601683794},0,ZScore,PCA3,Perceptron,0.9722871235721703
3,{'alpha': 0.05623413251903491},0,ZScore,PCA3,Perceptron,0.8542964693665628
4,{'alpha': 1.0},0,ZScore,PCA3,Perceptron,0.794457424714434
0,{'max_depth': 7},0,ZScore,PCA3,DT,0.9888369678089304
1,{'max_depth': 11},0,ZScore,PCA3,DT,0.9888369678089304
2,{'max_depth': 9},0,ZScore,PCA3,DT,0.9883177570093458
3,{'max_depth': 5},0,ZScore,PCA3,DT,0.9857217030114226
4,{'max_depth': 3},0,ZScore,PCA3,DT,0.9619678089304258
5,{'max_depth': 1},0,ZScore,PCA3,DT,0.9034267912772586
0,{'n_neighbors': 8},0,Identity,Identity,KNN,0.9888369678089304
1,{'n_neighbors': 20},0,Identity,Identity,KNN,0.9886422637590861
2,{'n_neighbors': 14},0,Identity,Identity,KNN,0.98851246105919
3,{'n_neighbors': 26},0,Identity,Identity,KNN,0.98851246105919
4,{'n_neighbors': 2},0,Identity,Identity,KNN,0.9840991692627207
0,"{'priors': array([0.78589045, 0.21410955])}",0,Identity,Identity,NB,0.9569055036344756
1,"{'priors': [0.5, 0.5]}",0,Identity,Identity,NB,0.9526220145379024
0,{'alpha': 1e-05},0,Identity,Identity,Perceptron,0.9633956386292835
1,{'alpha': 0.00017782794100389227},0,Identity,Identity,Perceptron,0.742536344755971
2,{'alpha': 0.0031622776601683794},0,Identity,Identity,Perceptron,0.7176791277258567
3,{'alpha': 1.0},0,Identity,Identity,Perceptron,0.6715342679127726
4,{'alpha': 0.05623413251903491},0,Identity,Identity,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,Identity,Identity,DT,0.990978712357217
1,{'max_depth': 11},0,Identity,Identity,DT,0.9909138110072689
2,{'max_depth': 7},0,Identity,Identity,DT,0.9903946002076843
3,{'max_depth': 5},0,Identity,Identity,DT,0.9893561786085151
4,{'max_depth': 3},0,Identity,Identity,DT,0.9883826583592938
5,{'max_depth': 1},0,Identity,Identity,DT,0.9881230529595015
0,{'n_neighbors': 8},0,Identity,BestK1,KNN,0.9889018691588785
1,{'n_neighbors': 20},0,Identity,BestK1,KNN,0.9885773624091381
2,{'n_neighbors': 26},0,Identity,BestK1,KNN,0.98851246105919
3,{'n_neighbors': 14},0,Identity,BestK1,KNN,0.9884475597092419
4,{'n_neighbors': 2},0,Identity,BestK1,KNN,0.9826713395638629
0,"{'priors': array([0.78589045, 0.21410955])}",0,Identity,BestK1,NB,0.9565809968847352
1,"{'priors': [0.5, 0.5]}",0,Identity,BestK1,NB,0.9526869158878505
0,{'alpha': 1e-05},0,Identity,BestK1,Perceptron,0.9419781931464174
1,{'alpha': 0.0031622776601683794},0,Identity,BestK1,Perceptron,0.7370197300103842
2,{'alpha': 0.00017782794100389227},0,Identity,BestK1,Perceptron,0.7196910695742471
3,{'alpha': 1.0},0,Identity,BestK1,Perceptron,0.6715342679127726
4,{'alpha': 0.05623413251903491},0,Identity,BestK1,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,Identity,BestK1,DT,0.9905244029075805
1,{'max_depth': 7},0,Identity,BestK1,DT,0.9903296988577363
